NOME;NAZIONE;SQUADRA
Mike Maignan;Francia;Milan
Giovanni Di Lorenzo;Italia;Napoli
Luca Ranieri;Italia;Fiorentina
Isak Hien;Svezia;Verona
Leonardo Spinazzola;Italia;Roma
Florian Thauvin;Francia;Udinese
Ruben Loftus-Cheek;Inghilterra;Milan
Ismael Bennacer;Algeria;Milan
Christian Pulisic;USA;Milan
Paulo Dybala;Argentina;Roma
Luis Muriel;Colombia;Atalanta
Luis Alberto;Spagna;Lazio
Ciro Immobile;Italia;Lazio
Pedro;Spagna;Lazio
Adrien Rabiot;Francia;Juventus
Valentin Castellanos;Argentina;Lazio
Amir Rrahmani;Albania;Napoli
Nicolas Gonzalez;Argentina;Fiorentina
Henrikh Mkhitaryan;Armenia;Inter
Yann Karamoh;Francia;Torino
Yerry Mina;Colombia;Fiorentina
Denzel Dumfries;Olanda;Inter
Kyle Walker;Inghilterra;Manchester City
Virgil Van Dijk;Olanda;Liverpool
Benjamin White;Inghilterra;Arsenal
Bernardo Silva;Portogallo;Manchester City
Thiago Alcantara;Spagna;Liverpool
Gabriel Martinelli;Brasile;Arsenal
Leon Bailey;Giamaica;Aston Villa
Dominic Solanke;Colombia;Bournemouth
Joelinton;Brasile;Newcastle
James Maddison;Inghilterra;Tottenham
Cody Gakpo;Olanda;Liverpool
Lisandro Martinez;Argentina;Manchester United
Alejandro Garnacho;Argentina;Manchester United
Diogo Jota;Portogallo;Liverpool
Danny Welbeck;Inghilterra;Brighthon
Mohamed Salah;Egitto;Liverpool
Ivan Perisic;Croazia;Tottenham
Lukas Hradecky;Finlandia;Bayer Leverkusen
Mitchell Weiser;Germania;Werder Brema
Mohamed Simakan;Francia;RB Lipsia
Lukas Klostermann;Germania;RB Lipsia
David Raum;Germania;RB Lipsia
Granit Xhaka;Svizzera;Bayer Leverkusen
Donyell Malen;Olanda;Borussia Dortmund
Julian Brandt;Germania;Borussia Dortmund
Xavi Simons;Olanda;RB Lipsia
Harry Kane;Inghilterra;Bayern Monaco
Marco Reus;Germania;Borussia Dortmund
Mats Hummels;Germania;Borussia Dortmund
Victor Boniface;Nigeria;Bayer Leverkusen
Kiliann Sildilla;Francia;Friburgo
Sebastiaan Bornauw;Belgio;Wolfsburg
Alejandro Grimaldo;Spagna;Bayer Leverkusen
