Squadra;Numero maglia;Ruolo;Calciatore
Atalanta;1;P;Juan Musso
Atalanta;2;D;Rafael Tolói
Atalanta;3;D;Emil Holm
Atalanta;4;D;Isak Hien
Atalanta;6;D;José Luis Palomino
Atalanta;7;C;Teun Koopmeiners
Atalanta;8;C;Mario Pašalić
Atalanta;10;A;El Bilal Touré
Atalanta;11;A;Ademola Lookman
Atalanta;13;C;Éderson
Atalanta;15;C;Marten de Roon
Atalanta;17;A;Charles De Ketelaere
Atalanta;19;D;Berat Djimsiti
Atalanta;20;D;Mitchel Bakker
Atalanta;22;D;Matteo Ruggeri
Atalanta;23;D;Sead Kolašinac
Atalanta;25;C;Michel Adopo
Atalanta;29;P;Marco Carnesecchi
Atalanta;31;P;Francesco Rossi
Atalanta;33;D;Hans Hateboer
Atalanta;42;D;Giorgio Scalvini
Atalanta;43;D;Giovanni Bonfanti
Atalanta;59;A;Aleksej Mirančuk
Atalanta;77;C;Davide Zappacosta
Atalanta;90;A;Gianluca Scamacca
Bologna;3;D;Stefan Posch
Bologna;4;D;Mihajlo Ilić
Bologna;5;D;Adama Soumaoro
Bologna;6;C;Nikola Moro
Bologna;7;A;Riccardo Orsolini
Bologna;8;C;Remo Freuler
Bologna;9;A;Joshua Zirkzee
Bologna;10;A;Jesper Karlsson
Bologna;11;A;Dan Ndoye
Bologna;15;D;Victor Kristiansen
Bologna;16;D;Tommaso Corazza
Bologna;17;C;Oussama El Azzouzi
Bologna;18;A;Santiago Castro
Bologna;19;C;Lewis Ferguson
Bologna;20;C;Michel Aebischer
Bologna;21;A;Jens Odgaard
Bologna;22;D;Charalampos Lykogiannīs
Bologna;23;P;Nicola Bagnolini
Bologna;26;D;Jhon Lucumí
Bologna;28;P;Łukasz Skorupski
Bologna;29;D;Lorenzo De Silvestri
Bologna;31;D;Sam Beukema
Bologna;33;D;Riccardo Calafiori
Bologna;34;P;Federico Ravaglia
Bologna;56;C;Alexis Saelemaekers
Bologna;80;C;Giovanni Fabbian
Bologna;82;C;Kacper Urbański
Cagliari;1;P;Boris Radunović
Cagliari;4;D;Alberto Dossena
Cagliari;5;C;Marco Mancosu
Cagliari;6;C;Marko Rog
Cagliari;8;C;Nahitan Nández
Cagliari;9;A;Gianluca Lapadula
Cagliari;10;C;Nicolas Viola
Cagliari;14;C;Alessandro Deiola
Cagliari;16;C;Matteo Prati
Cagliari;17;D;Pantelis Hatzidiakos
Cagliari;18;P;Simone Aresti
Cagliari;19;C;GaetanoPio Oristanio
Cagliari;21;C;Jakub Jankto
Cagliari;22;P;Simone Scuffet
Cagliari;23;D;Mateusz Wieteska
Cagliari;25;C;Ibrahim Sulemana
Cagliari;26;D;Yerry Mina
Cagliari;27;D;Tommaso Augello
Cagliari;28;D;Gabriele Zappa
Cagliari;29;C;Antoine Makoumbou
Cagliari;30;A;Leonardo Pavoletti
Cagliari;31;P;Velizar-Iliya Iliev
Cagliari;32;A;Andrea Petagna
Cagliari;33;D;Adam Obert
Cagliari;34;A;Kingstone Mutandwa
Cagliari;35;A;Alessandro Vinciguerra
Cagliari;37;D;Paulo Dentello
Cagliari;61;A;Eldor Shomurodov
Cagliari;70;C;Gianluca Gaetano
Cagliari;77;A;Zito Luvumbo
Cagliari;99;D;Alessandro DiPardo
Empoli;1;P;Samuele Perisan
Empoli;2;D;Saba Goglichidze
Empoli;3;D;Giuseppe Pezzella
Empoli;4;D;Sebastian Walukiewicz
Empoli;5;C;Alberto Grassi
Empoli;7;A;Stiven Shpendi
Empoli;8;C;Viktor Kovalenko
Empoli;9;A;Francesco Caputo
Empoli;10;A;M'Baye Niang
Empoli;11;A;Emmanuel Gyasi
Empoli;13;D;Liberato Cacace
Empoli;14;D;Gabriele Guarino
Empoli;16;C;Luca Belardinelli
Empoli;17;A;Alberto Cerri
Empoli;18;C;Răzvan Marin
Empoli;19;D;Bartosz Bereszyński
Empoli;20;A;Matteo Cancellieri
Empoli;21;C;Jacopo Fazzini
Empoli;23;A;Mattia Destro
Empoli;24;D;Tyronne Ebuehi
Empoli;25;P;Elia Caprile
Empoli;27;C;Szymon Żurkowski
Empoli;28;A;Nicolò Cambiaghi
Empoli;29;C;Youssef Maleh
Empoli;30;C;Simone Bastoni
Empoli;33;D;Sebastiano Luperto
Empoli;34;D;Ardian Ismajli
Empoli;35;A;Tommaso Baldanzi
Empoli;99;P;Etrit Berisha
Fiorentina;1;P;Pietro Terracciano
Fiorentina;2;D;Dodô
Fiorentina;3;D;Cristiano Biraghi
Fiorentina;4;D;Nikola Milenković
Fiorentina;5;C;Giacomo Bonaventura
Fiorentina;6;C;Arthur Melo
Fiorentina;7;A;Riccardo Sottil
Fiorentina;8;C;Maxime Lopez
Fiorentina;9;A;Lucas Beltrán
Fiorentina;10;A;Nicolás González
Fiorentina;11;C;Jonathan Ikoné
Fiorentina;16;D;Luca Ranieri
Fiorentina;17;C;Gaetano Castrovilli
Fiorentina;18;A;M'Bala Nzola
Fiorentina;19;C;Gino Infantino
Fiorentina;20;A;Andrea Belotti
Fiorentina;22;D;Davide Faraoni
Fiorentina;28;D;Lucas Martínez Quarta
Fiorentina;30;P;Tommaso Martinelli
Fiorentina;32;C;Alfred Duncan
Fiorentina;33;D;Michael Kayode
Fiorentina;37;D;Pietro Comuzzo
Fiorentina;38;C;Rolando Mandragora
Fiorentina;40;P;Tommaso Vannucchi
Fiorentina;53;P;Oliver Christensen
Fiorentina;65;D;Fabiano Parisi
Fiorentina;72;C;Antonín Barák
Fiorentina;99;A;Christian Kouamé
Frosinone;1;P;Pierluigi Frattali
Frosinone;3;D;Riccardo Marchizza
Frosinone;4;C;Marco Brescianini
Frosinone;5;D;Caleb Okoli
Frosinone;6;D;Simone Romagnoli
Frosinone;7;A;Jaime Báez
Frosinone;8;A;Demba Seck
Frosinone;9;A;Kaio Jorge
Frosinone;10;A;Giuseppe Caso
Frosinone;11;A;Marvin Çuni
Frosinone;12;C;Reinier
Frosinone;14;C;Francesco Gelli
Frosinone;16;C;Luca Garritano
Frosinone;17;A;Giorgi Kvernadze
Frosinone;18;A;Matías Soulé
Frosinone;19;D;Nadir Zortea
Frosinone;20;D;Pol Lirola
Frosinone;21;C;Abdou Harroui
Frosinone;22;D;Anthony Oyono
Frosinone;23;D;Sergio Kalaj
Frosinone;26;A;Soufiane Bidaoui
Frosinone;27;C;Arijon Ibrahimović
Frosinone;29;A;Farès Ghedjemis
Frosinone;30;D;Ilario Monterisi
Frosinone;31;P;Michele Cerofolini
Frosinone;32;D;Emanuele Valeri
Frosinone;33;D;Kevin Bonifazi
Frosinone;36;C;Luca Mazzitelli
Frosinone;45;C;Enzo Barrenechea
Frosinone;47;D;Mateus Lusuardi
Frosinone;70;A;Walid Cheddira
Frosinone;80;P;Stefano Turati
Genoa;1;P;Josep Martínez
Genoa;16;P;Nicola Leali
Genoa;39;P;Daniele Sommariva
Genoa;99;P;Franz Stolz
Genoa;14;D;Alessandro Vogliacco
Genoa;13;D;Mattia Bani
Genoa;4;D;Koni De Winter
Genoa;23;D;Giorgio Cittadini
Genoa;22;D;Johan Vásquez
Genoa;33;D;Alan Matturro
Genoa;3;D;Aarón Martín
Genoa;20;D;Stefano Sabelli
Genoa;90;D;Djed Spence
Genoa;55;D;Ridgeciano Haps
Genoa;5;C;Emil Bohinen
Genoa;8;C;Kevin Strootman
Genoa;2;C;Morten Thorsby
Genoa;17;C;Ruslan Malinovs'kyj
Genoa;47;C;Milan Badelj
Genoa;32;C;Morten Frendrup
Genoa;10;A;Junior Messias
Genoa;9;A;Vitinha
Genoa;11;A;Albert Guðmundsson
Genoa;18;A;Caleb Ekuban
Genoa;19;A;Mateo Retegui
Genoa;30;A;David Ankeye
Inter;1;P;Yann Sommer
Inter;2;C;Denzel Dumfries
Inter;5;C;Stefano Sensi
Inter;6;D;Stefan de Vrij
Inter;7;C;Juan Cuadrado
Inter;8;A;Marko Arnautović
Inter;9;A;Marcus Thuram
Inter;10;A;Lautaro Martínez
Inter;12;P;Raffaele Di Gennaro
Inter;14;C;Davy Klaassen
Inter;15;D;Francesco Acerbi
Inter;16;C;Davide Frattesi
Inter;17;C;Tajon Buchanan
Inter;20;C;Hakan Çalhanoğlu
Inter;21;C;Kristjan Asllani
Inter;22;C;Henrix Mxit'aryan
Inter;23;C;Nicolò Barella
Inter;28;D;Benjamin Pavard
Inter;30;C;Carlos Augusto
Inter;31;D;Yann Aurel Bisseck
Inter;32;D;Federico Dimarco
